21,개구쟁이 스머프 2,921788,104,전체 관람가,35.13,2013-07-30,5.7,크리스티나 리치, 닐 패트릭 해리스, 알란 커밍,스머프들이 돌아온다! 이번엔 프랑스 파리로~! 위험에 빠진 스머페트를 구하라!  프랑스 파리의 스타 마법사가 된 ‘가가멜’. 하지만 마법 약발이 떨어지기 시작하자 그가 만들어낸 말썽쟁이 스머프 ‘벡시’ &amp; ‘해커스’와 함께 유일하게 “마법의 스머프 묘약”을 만들어 낼 줄 아는 ‘스머페트’를 납치한다!! ‘가가멜’에게 납치당한 ‘스머페트’를 구하기 위해 다시 한번 인간세상으로 여행을 떠나는 ‘파파 스머프’와 스머프들. 난생처음 와보는 낭만의 도시 ,['https://movie-phinf.pstatic.net/20130719_139/1374202054682nEhkt_JPEG/movie_image.jpg?type=m203_290_2'],['https://movie-phinf.pstatic.net/20130719_139/1374202054682nEhkt_JPEG/movie_image.jpg'],20
22,알리타: 배틀 엔젤,1951889,122,12세 관람가,71.287,2019-01-31,6.6,로사 살라자르, 크리스토프 왈츠, 키언 존슨,모두가 갈망하는 공중도시와 그들을 위해 존재하는 고철도시로 나누어진 26세기. 고철 더미 속 모든 기억을 잃은 채 깨어난 알리타는 마음 따뜻한 의사 이도의 보살핌으로 새로운 삶을 시작한다. 이도는 사이보그인 알리타에게 특별한 과거의 비밀과 영혼이 존재한다는 사실을 깨닫고 미스터리한 과거로부터 그녀를 지키고자 한다. 한편 새로운 친구 휴고는 알리타가 위험한 고철도시를 헤쳐나갈 수 있는 방법과 함께 기억을 되찾도록 돕는다. 알리타가 자신의 과거에 다가 갈수,['https://movie-phinf.pstatic.net/20190128_22/1548638810964Go9Wy_JPEG/movie_image.jpg?type=m203_290_2'],['https://movie-phinf.pstatic.net/20190128_22/1548638810964Go9Wy_JPEG/movie_image.jpg'],21
23,한 솔로: 스타워즈 스토리,213987,135,12세 관람가,36.927,2018-05-15,6.6,엘든 이렌리치, 에밀리아 클라크, 우디 해럴슨,"코렐리아 행성에서 노예처럼 일하던 빈민가의 청년 한(앨든 이렌리치)은 사랑하는 키라(에밀리아 클라크)와 함께 행성을 탈출할 기회를 노리고 있다. 우주 최고의 파일럿이 되기를 꿈꾸지만 현실은 못된 악당에게 붙들려 밀수꾼 노릇을 하는 중. 우여곡절 끝에 행성을 탈출하지만 키라와 생이별을 하게 된 한은 우주를 떠돌다가 츄바카(요나스 수오타모), 랜도(도널드 글러버), 베킷(우디 해럴슨) 등을 만나 엄청난 가치를 지닌 우주 자원 탈취 작전을 공모하게 된다. 파",['https://movie-phinf.pstatic.net/20180502_152/1525236795343DwkFq_JPEG/movie_image.jpg?type=m203_290_2'],['https://movie-phinf.pstatic.net/20180502_152/1525236795343DwkFq_JPEG/movie_image.jpg'],22
24,명탐정 피카츄,353171,104,전체 관람가,207.515,2019-05-03,7.2,라이언 레이놀즈, 저스티스 스미스,,"기억을 잃은 채 깨어난 피카츄, 난 누구? 여긴 어디? 유일한 단서는 탐정모자에 적힌 해리란 이름과 주소. 주소 속 아파트에서 자신의 말을 유일하게 알아 듣는, 실종된 해리의 아들 팀 굿맨을 만나게 된다. 명탐정의 촉으로 이건 그야말로 대.박.사.건! 사라진 아빠를 찾기 위해 피카츄와 떠나는 기상천외한 모험이 시작된다. 피카피카!",['https://movie-phinf.pstatic.net/20190424_53/1556091565705XDpwg_JPEG/movie_image.jpg?type=m203_290_2'],['https://movie-phinf.pstatic.net/20190424_53/1556091565705XDpwg_JPEG/movie_image.jpg'],23
25,메리 포핀스 리턴즈,224160,130,전체 관람가,52.543,2018-12-13,6.6,에밀리 블런트, 린-마누엘 미란다, 벤 위쇼,"체리트리 가 17번지에 살고 있는 마이클과 세 아이들은 아내와 엄마를 잃고, 집까지 빼앗길 위기에 처해 슬픔에 잠긴다. 어느 날, 바람의 방향이 바뀌고 마이클의 가족에게 다시 돌아온 ‘메리 포핀스’는 사랑스러운 마법으로 가득 찬 황홀한 경험을 선사하는데…",['https://movie-phinf.pstatic.net/20190114_278/1547430628262QsUaV_JPEG/movie_image.jpg?type=m203_290_2'],['https://movie-phinf.pstatic.net/20190114_278/1547430628262QsUaV_JPEG/movie_image.jpg'],24
26,베놈,3887975,107,15세 관람가,52.645,2018-09-28,6.6,톰 하디, 미셸 윌리엄스,,진실을 위해서라면 몸을 사리지 않고 사회의 부조리를 취재하는 정의로운 열혈 기자 에디 브록(톰 하디). 거대 기업 라이프 파운데이션의 생체실험에 의혹을 품고 뒤를 쫓던 그는 이들의 사무실에 잠입했다가 실험실에서 외계 생물체 심비오트의 기습 공격을 받게 된다. 심비오트가 숙주의 몸과 정신을 지배할 때 능력을 발휘하는 베놈은 에디의 몸에 기생하며 갖가지 소동을 일으킨다. 한편 비밀리에 인간과 심비오트를 결합해 새로운 생명체를 만들려는 시도를 계속하던 라이프,['https://movie-phinf.pstatic.net/20180921_296/1537498027382AK7eg_JPEG/movie_image.jpg?type=m203_290_2'],['https://movie-phinf.pstatic.net/20180921_296/1537498027382AK7eg_JPEG/movie_image.jpg'],25
27,인크레더블 헐크,991417,113,15세 관람가,37.309,2008-06-12,6.2,에드워드 노튼, 리브 타일러, 팀 로스,"실험 중 감마선에 노출된 이후 분노를 통제할 수 없는 상태가 되면 괴력을 지닌 녹색 괴물 헐크로 변하게 되는 브루스 배너(에드워드 노튼). 필사적으로 치료제 개발에 매달리지만, 그의 능력을 이용하려는 정부와 군대의 끈질긴 추격을 받고 쫓기게 된다. 한편 헐크의 거대한 힘의 비밀을 파헤치던 이들은 헐크보다 더 파괴적인 어보미네이션을 만드는데 성공, 도시 전체를 집어삼키려 한다. 이에 브루스 배너는 정상적인 인생을 되찾으려던 계획을 버리고, 어보미네이션과 ",['https://movie-phinf.pstatic.net/20111222_21/1324529563793t6TEo_JPEG/movie_image.jpg?type=m203_290_2'],['https://movie-phinf.pstatic.net/20111222_21/1324529563793t6TEo_JPEG/movie_image.jpg'],26
28,엑소더스: 신들과 왕들,1511845,154,12세 관람가,33.361,2014-12-03,5.7,크리스찬 베일, 조엘 에저튼,,"인간이 신처럼 군림하던 시대, 이집트 왕국에서 형제와도 같이 가깝게 자란 모세스와 람세스. 전차에서 낙마한 람세스를 모세가 목숨을 걸고 구해날 정도로 둘의 우애는 깊었지만, 생지옥 같은 노예들의 삶을 목격하고 이에 분노하게 된 모세스는 스스로를 태양신 라의 화신이라 믿는 제국의 왕 람세스와 정면으로 맞서게 된다. 이집트의 동쪽으로 추방당하며 겪은 여정에서 신비한 소년을 만나게 되는 모세스. 결국 자신이 400년간 억압받던 노예들을 이끌 운명임을 깨닫게 ",['https://movie-phinf.pstatic.net/20141124_271/1416813801565qDzKQ_JPEG/movie_image.jpg?type=m203_290_2'],['https://movie-phinf.pstatic.net/20141124_271/1416813801565qDzKQ_JPEG/movie_image.jpg'],27
29,레고 무비2,88392,107,전체 관람가,65.192,2019-01-26,6.6,크리스 프랫, 엘리자베스 뱅크스, 윌 아넷,"시스타 행성의 지멋대로 여왕의 지시로 듀플로 외계인들이 레고 마을을 침공한다. 어마무시 장군이 친구들을 납치하자 에밋은 우주로의 여행을 떠나는데… 에밋과 친구들의 대모험, 이번엔 우주다! 준비됐나요?",['https://movie-phinf.pstatic.net/20190201_289/1548989381126kvXTK_JPEG/movie_image.jpg?type=m203_290_2'],['https://movie-phinf.pstatic.net/20190201_289/1548989381126kvXTK_JPEG/movie_image.jpg'],28
30,직쏘,112237,92,청소년 관람불가,41.561,2017-10-26,6.1,토빈 벨,,,도심 한복판에서 사람들이 한 명씩 살해 된 채 곳곳에서 발견된다. 모든 수사 결과와 증거는 이미 사망한 존 크레이머 일명 직쏘를 범인으로 지목하는데…,['https://movie-phinf.pstatic.net/20171012_72/15077704479368f71F_JPEG/movie_image.jpg?type=m203_290_2'],['https://movie-phinf.pstatic.net/20171012_72/15077704479368f71F_JPEG/movie_image.jpg'],29
