title,r_title,actorList,runtime,director,grade,genre,audience,popularity,release_date,vote,overview
엽문4,엽문4: 종극일전,"['황추생', '황이진', '증지위']",100,구예도,15세 관람가,"['드라마', '액션']",[],31.652,2019-10-18,0,"홍콩이 영국으로 넘어가던 시기, 엽문은 불산에서 내려와 홍콩에서 지내고있었다.  정식으로 도장을 차리진 않았지만 그의 주변엔 가르침을 받으려는 제자들이 모여들고,  엽문은 그들과 함께 영춘권을 연마하며 노년을 보낸다.  가족과 제자들을 아끼고 사랑하며, 조용히 살아가고 싶은 엽문.  그러나 그의 주변 인물들에게 얽혀 벌어지는 일들은 그를 결코 평화롭게 놔두지 않는다."
더 로버,더 로버,"['로버트 패틴슨', '가이 피어스', '스쿳 맥네이리']",102,데이비드 미코드,청소년 관람불가,"['드라마', '범죄']",[],31.621,2014-05-18,6.2,"황폐해질 대로 황폐해진 모든 것이 붕괴된 호주. 이곳의 사람들은 질서도 희망도 없이 그저 하루하루를 살아갈 뿐이다. 시골 마을에 모든 것을 체념한 듯한 표정의 에릭(가이 피어스)이 상점 안으로 들어온다. 그가 상점에서 목을 축이고 있는 동안, 인근에서 강도행각을 벌이다 순찰 중이던 보안군과 총격전을 벌이고 도주하던 중 사고를 일으킨 무장강도들은 사고로 주행이 불가능해진 자신들의 차량을 버리고 에릭의 차를 절취하여 달아나 버린다. 전 재산과도 같은 차를 "
13일의 금요일 2,13일의 금요일 2,['에이미 스틸'],85,스티브 마이너,청소년 관람불가,['공포'],[],31.555,1981-05-01,6,1편이 선보인 일년 후 또 다시 찾아온 제이슨의 공포. 오래 전 소년 제이슨이 호수에서 익사했고 얼마 전에는 그 어머니가 젊은이들의 살육했던 크리스탈 호수의 캠프장. 캠프장의 교사 일곱명이 제이슨의 어머니에게 살해당한 5년 전의 끔찍한 사건은 전설처럼 그 지방을 떠돈다. 크리스탈 호수 근처의 또 다른 캠프장에 젊은 교사들이 들어온다. 그들은 이곳을 떠나라는 경고도 무시한 채...
러브 오브 마이 라이프,러브 오브 마이 라이프,"['안나 챈셀러', '존 한나', '헤미온 노리스']",106,조안 카 위긴,[],"['코미디', '드라마']",[],31.505,2017-02-17,5.4,5 일 안에 모든 걸 알아낼 수 있다면 어떨까요? (구글번역)
서프러제트,서프러제트,"['캐리 멀리건', '메릴 스트립', '로몰라 가레이']",106,사라 가브론,12세 관람가,['드라마'],"28,411",31.48,2015-10-16,7.3,"1912년 영국에서는 여성들에게 투표권을 보장하라고 외치는 여성 참정권 운동가들의 목소리가 거세지고 있었다. 그들의 구심점인 여성사회정치동맹(WSPU)은 런던에 위치해 있었다. 세탁공장 노동자인 모드 와츠(캐리 멀리건)는 한 남자의 아내, 한 아이의 엄마로서의 자신의 삶을 의심해본 적 없는 하루하루를 살아간다. 여성 투표권을 주장하며 거리에서 투쟁하는 서프러제트 무리를 목격한 그날도 그들이 바꿀 수 있는 것은 아무 것도 없을 거라 생각했던 그녀. 하지만"
레이버 데이,레이버 데이,"['케이트 윈슬렛', '조슈 브롤린', '게틀린 그리피스']",111,제이슨 라이트맨,15세 관람가,['드라마'],[],31.413,2013-12-27,6.9,동명소설을 원작으로 싱글맘과 탈옥수의 사랑이야기를 그린 작품으로 케이트 윈슬렛과 조쉬 브롤린이 주연을 맡았다.
007 스펙터,007 스펙터,"['다니엘 크레이그', '레아 세이두', '크리스토프 왈츠']",148,샘 멘데스,15세 관람가,"['액션', '모험', '범죄']","1,820,839",31.393,2015-10-26,6.4,스카이폴 사건 이후 MI6는 영국 정부에 의해 해체 위기에 놓인다.  자신의 과거와 관련된 암호를 추적하던 제임스 본드는  최악의 조직 ‘스펙터’와 자신이 관련되어 있다는 사실을 알게 되고 혼란스러워 하는데…
나이트메어 7 : 뉴 나이트메어,[],[],[],[],[],[],[],31.346,1994-10-13,6.4,"헤더은 공포영화의 특수효과를 담당하고 있는 쳬이스 포터와 결혼해 아들 딜란과 행복하게 살고있다. 그러나 요즘들어 10년 전에 완전히 죽은 것으로 돼 있는 프레디가 나타나 헤더를 괴롭히기 시작한다. 뿐만 아니라, 자기가 프레디라고 주장하는 괴전화가 걸려오기 시작한다. 헤더의 불안은 불안으로만 끝나지 않고, 남편 제이스가 쇠손톱에 찍혀 죽는 사고가 나고만다. 곧이어, 특수효과부의 재크와 테리도 죽는다. 남편의 장례식에서 만난 프레디를 맡았던 로버트 잉글룬드"
The Proposition,프로퍼지션,"['톰 버지', '가이 피어스']",104,존 힐코트,NR,"['액션', '범죄', '드라마']",[],31.331,2005-10-06,7.2,
알라딘,알라딘,"['메나 마수드', '윌 스미스', '나오미 스콧']",128,가이 리치,전체 관람가,"['모험', '가족', '판타지']",[],31.326,2019-05-22,0,"머나먼 사막 속 신비의 아그라바 왕국의 시대. 좀도둑 ‘알라딘’은 마법사 ‘자파’의 의뢰로 마법 램프를 찾아 나섰다가 주인에게 세 가지 소원을 들어주는 지니를 만나게 되고, 자스민 공주의 마음을 얻으려다 생각도 못했던 모험에 휘말리게 되는데…"
다크 플레이스,다크 플레이스,"['샤를리즈 테론', '니콜라스 홀트', '클로이 모레츠']",113,질스 파겟-브레너,청소년 관람불가,"['드라마', '미스터리', '스릴러']","66,127",31.318,2015-03-31,5.9,"라일의 추리 탐정 클럽, 킬 클럽에서 활동하고 있는 라일(니콜라스 홀트)은 25년 전 큰 아들 벤이 엄마와 어린 여동생 2명을 잔혹하게 살해한 사건에 의구심을 갖게 되고 유일한 생존자이자 증인, 막내 리비(샤를리즈 테론)를 찾게 된다. 리비의 기억 오빠 벤이 엄마와 언니들을 잔혹하게 살해한 사건의 유일한 목격자. 아직도 어린 시절의 충격에서 벗어나지 못한 리비에게 어느 날 라일이란 사람이 25년 전 사건에 미심쩍은 부분이 있다며 그녀를 찾아온다. 경제적"
핫 텁 타임머신 2,핫 텁 타임머신 2,"['랍 코드리', '크레이그 로빈슨', '클락 듀크']",93,스티브 핑크,R,"['코미디', 'SF']",[],31.189,2015-02-20,5.1,"핫 텁 타임머신의 남자들이 더 거칠고 선정적인 모험을 위해 1편보다 더 재미있게 돌아왔다! 완벽했던 파티가 우스꽝스럽게 돌아가게 되면서, 닉(크레이그 로빈슨) 과 제이콥(클락 듀크)은 루(롭 코드리)를 구하기 위해 핫텁을 작동시키게 된다. 예기치 않게 2025년에 도착해버린 그들은 아담 주니어(아담 스캇)를 만나 현재를 바로잡기 위해 엄청나게 웃기고 완전히 미친것 같은 일들을 함께 해나간다"
드래그드 어크로스 콘크리트,[],[],[],[],[],[],[],31.181,2019-02-21,6.8,
