title,r_title,actorList,runtime,director,grade,genre,audience,popularity,release_date,vote,overview
어벤져스: 엔드게임,어벤져스: 엔드게임,"['로버트 다우니 주니어', '크리스 에반스', '크리스 헴스워스']",181,안소니 루소,12세 관람가,"['액션', 'SF']","12,508,895",322.179,2019-04-24,8.6,"인피니티 워 이후 절반만 살아남은 지구, 마지막 희망이 된 어벤져스! 먼저 떠난 그들을 위해 모든 것을 걸었다!"
캡틴 마블,캡틴 마블,"['브리 라슨', '사무엘 L. 잭슨', '벤 멘델슨']",123,애너 보든,12세 관람가,"['액션', '모험', 'SF']","5,799,592",247.608,2019-03-06,7.1,"1995년, 공군 파일럿 시절의 기억을 잃고 크리족 전사로 살아가던 캐럴 댄버스(브리 라슨)가 지구에 불시착한다. 쉴드 신참 요원 닉 퓨리(사무엘 L. 잭슨)에게 발견되어 팀을 이룬 그들은 지구로 향하는 더 큰 위협을 감지하고 힘을 합쳐 전쟁을 끝내야 하는데…"
샤잠!,샤잠!,"['제커리 레비', '애셔 앤젤']",132,데이비드 F. 샌드버그,12세 관람가,"['액션', '판타지', 'SF']","657,294",226.232,2019-03-23,7.2,"솔로몬의 지혜, 헤라클레스의 힘, 아틀라스의 체력, 제우스의 권능, 아킬레스의 용기, 머큐리의 스피드까지 우연히 슈퍼 파워를 얻게 된 소년. 자신의 능력을 깨닫고 악당을 물리치는 슈퍼히어로로 다시 태어난다! 주문을 외쳐라, ‘샤잠’!"
가면라이더 헤이세이 제네레이션즈 FOREVER,[],[],[],[],[],[],[],211.775,2018-12-22,5.1,
명탐정 피카츄,명탐정 피카츄,"['라이언 레이놀즈', '저스티스 스미스']",104,롭 레터맨,전체 관람가,"['액션', '모험', '코미디']","353,171",207.515,2019-05-03,7.2,"기억을 잃은 채 깨어난 피카츄, 난 누구? 여긴 어디? 유일한 단서는 탐정모자에 적힌 해리란 이름과 주소. 주소 속 아파트에서 자신의 말을 유일하게 알아 듣는, 실종된 해리의 아들 팀 굿맨을 만나게 된다. 명탐정의 촉으로 이건 그야말로 대.박.사.건! 사라진 아빠를 찾기 위해 피카츄와 떠나는 기상천외한 모험이 시작된다. 피카피카!"
헬보이,헬보이,"['데이빗 하버', '밀라 요보비치']",121,닐 마샬,청소년 관람불가,"['액션', '모험', '판타지']","323,095",202.512,2019-04-10,5.1,"'헬보이' 자신이 소속된 B.P.R.D의 임무로 영국의 한 비밀 단체의 괴수 사냥을 도우러 갔지만 되려 공격을 당하고, 곧 영국에서 어마어마한 일이 벌어지고 있다는 것을 알게 된다. 서기 566년, 아서왕에게 패하고 몸이 7조각으로 나뉘어 봉인된 '블러드 퀸'을 다시 부활시켜 인류를 파멸시키려는 초자연적 빌런들에 의해 영국은 물론 전 세계가 위험에 빠지게 된다. 헬보이는 이들에 맞서 인류를 위험으로부터 구해야만 하는데…"
애프터,애프터,[],8,마투스 발차르,[],['애니메이션'],[],186.949,2019-04-11,6.1,
도라에몽: 진구의 보물섬,극장판 도라에몽: 진구의 보물섬,"['윤아영', '김정아', '조현정']",108,이마이 카즈아키,전체 관람가,['애니메이션'],"183,220",159.591,2018-03-03,5.6,보물을 찾기로 결심한 진구는 도라에몽의 ‘보물찾기 지도’로 수수께끼 섬을 발견한다.  ‘노진구올라호’를 타고 보물섬으로 향하던 도라에몽과 친구들은 해적에게 습격 당하고 이슬이까지 납치되고 마는데…  우연히 바다에서 표류하던 소년 플록과 앵무새 퀴즈를 만나 보물섬의 비밀에 대해 알게 된다! 과연 캡틴도라와 친구들은 수수께끼 섬에 잠든 환상의 보물을 찾을 수 있을까?
콜드 체이싱,콜드 체이싱,"['리암 니슨', '톰 베이트먼']",118,한스 페터 몰란트,15세 관람가,['액션'],"101,694",157.12,2019-02-07,5.3,"평범한 제설차 운전수이자 올해의 모범시민 ‘넬스 콕스맨’. 법 없이도 살 수 있던 그는 마약 조직의 사이코패스 보스 ‘바이킹’이 꾸며낸 아들의 처참한 죽음 앞에서 분노의 심판자로 다시 태어난다. ‘스피도’, ‘림보’, ‘산타’ 등 마피아들을 연달아 처단하며 그들의 소굴에 한 걸음 가까워질수록 ‘넬스’의 분노는 죽음도 대신할 수 없는 깊은 복수심으로 소용돌이 치는데…"
어벤져스: 인피니티 워,어벤져스: 인피니티 워,"['로버트 다우니 주니어', '조슈 브롤린', '크리스 헴스워스']",149,안소니 루소,12세 관람가,"['액션', '모험', '판타지']","11,212,710",154.554,2018-04-25,8.3,"타노스(조시 브롤린)는 6개의 인피니티 스톤을 획득해 신으로 군림하려 한다. 그것은 곧 인류의 절반을 학살해 우주의 균형을 맞추겠다는 뜻. 타노스는 닥터 스트레인지(베네딕트 컴버배치)가 소유한 타임 스톤, 비전(폴 베타니)의 이마에 박혀 있는 마인드 스톤을 차지하기 위해 지구를 침략한다. 아이언맨(로버트 다우니 주니어)과 스파이더맨(톰 홀랜드)은 가디언즈 오브 갤럭시의 멤버들과 타노스를 상대한다. 지구에선 캡틴 아메리카(크리스 에반스), 완다(엘리자베스"
글래스,글래스,"['제임스 맥어보이', '브루스 윌리스', '사무엘 L. 잭슨']",129,M. 나이트 샤말란,15세 관람가,"['드라마', '미스터리', 'SF']","466,475",152.111,2019-01-16,6.5,틈틈이 도시의 수호자로 활약하며 지내던 데이빗은 납치범 케빈의 존재를 알게 된다. 두 사람은 서로의 비범한 능력을 알아보지만 대결을 마무리 짓기도 전에 엘리 스테이플 박사(사라 폴슨)에 의해 정신병원에 수감된다. 병원에는 두 사람 외에 미스터 글래스도 입원해 있다. 엘리 박사는 이들을 자신이 슈퍼히어로라 믿는 과대망상 환자로 치부한다. 그 와중에 글래스는 자신만의 계획을 실행에 옮긴다. 불행한 히어로 데이빗과 상처 깊은 안티 히어로 케빈의 대결을 부추기
장난스런 키스,장난스런 키스,"['왕대륙', '임윤']",122,프랭키 첸,12세 관람가,['멜로/로맨스'],"왕대륙, 임",127.21,2019-02-14,5.8,"A반 남신 ‘장즈수’와 처음 본 순간 KISS한 F반 ‘위안샹친’! 수학처럼 안 풀려도 절대 포기할 수 없는 확률 0% 멀고도 용감한 짝사랑 일대기.  장난 아니게 설레는 로코의 새로운 흥행 공식. 2019년 봄, 너 x 나 = 공식 ♡ 로코"
왓 맨 원트,왓 맨 원트,"['웬디 맥렌던 커비', '타라지 P. 헨슨', '맥스 그린필드']",117,아담 쉥크만,R,"['코미디', '판타지', '멜로/로맨스']",[],122.654,2019-02-08,5.8,
공포의 묘지,공포의 묘지,"['제이슨 클락', '존 리스고', '에이미 세이메츠']",101,케빈 콜쉬,15세 관람가,"['스릴러', '공포']","102,491",114.533,2019-04-04,6,"갑작스런 사고로 딸 엘리를 잃은 크리드(제이슨 클락)는 죽은 것이 살아 돌아온다는 애완동물 공동묘지에 딸을 묻게 되고, 어딘가 다른 모습으로 돌아온 엘리는 무시무시한 공포의 대상이 되어 가족들의 숨통을 조여오는데…"
드래곤 길들이기 3,드래곤 길들이기 3,"['제이 바루첼', '아메리카 페레라', '케이트 블란쳇']",104,딘 데블로이스,전체 관람가,"['애니메이션', '모험']","1,506,942",113.846,2019-01-03,7.6,바이킹 족장으로 거듭난 히컵과 그의 영원한 친구 투슬리스가 누구도 찾지 못했던 드래곤의 파라다이스 히든월드를 찾아 떠나는 마지막 모험을 담은 스펙터클 액션 어드벤처
Little,[],[],[],[],[],[],[],111.138,2019-04-04,6.2,
블랙 팬서,블랙 팬서,['채드윅 보스만'],135,라이언 쿠글러,12세 관람가,"['액션', '드라마', 'SF']","5,399,327",107.827,2018-02-13,7.4,"유엔 폭탄 테러로 아버지를 잃은 와칸다의 왕자 티찰라는 시빌 워 이후 고국 와칸다로 돌아가 왕좌에 오른다. 와칸다의 새로운 지도자 블랙팬서가 된 그는 옛 연인이자 와칸다의 스파이 나키아, 호위 무사 오코예와 함께 최강 희귀 금속 비브라늄 폭탄 거래가 이뤄지는 부산을 찾는다. 폭탄 거래의 배후에 있는 인물은 와칸다와 묘종의 연이 있는 정체불명의 남자, 에릭 킬몽거. 그는 놀라운 위력으로 티찰라를 제압하고 와칸다의 새로운 왕이 되려 하고, 이에 블랙 팬서는"
파이팅 위드 마이 패밀리,파이팅 위드 마이 패밀리,"['드웨인 존슨', '레나 헤디', '스테판 머천트']",[],스테판 머천트,PG-13,"['코미디', '드라마']",[],100.908,2019-02-14,6.5,
어벤져스,어벤져스: 엔드게임,"['로버트 다우니 주니어', '크리스 에반스', '크리스 헴스워스']",181,안소니 루소,12세 관람가,"['액션', 'SF']","12,508,895",95.471,2012-04-25,7.6,"에너지원 큐브를 이용한 적의 등장으로 인류가 위험에 처하자 국제평화유지기구인 쉴드의 국장 닉 퓨리(사무엘 L. 잭슨)는 어벤져스 작전을 위해 전 세계에 흩어져 있던 슈퍼히어로들을 찾아나선다. 아이언맨(로버트 다우니 주니어)부터 토르(크리스 헴스워스), 헐크(마크 러팔로), 캡틴 아메리카(크리스 에반스)는 물론, 쉴드의 요원인 블랙 위도우(스칼렛 요한슨), 호크 아이(제레미 레너)까지, 최고의 슈퍼히어로들이 어벤져스의 멤버로 모이게 되지만, 각기 개성이 "
카,카3: 새로운 도전,"['오웬 윌슨', '크리스텔라 알론조', '아미 해머']",109,브라이언 피,전체 관람가,"['애니메이션', '모험', '코미디']","487,916",94.664,2006-06-08,6.7,"화려한 성공과 갈채를 꿈꾸는 주인공 라이트닝 맥퀸(오웬 윌슨)은 경주에서 성공하는 것만이 인생의 모든 것이라 생각하는 타오르는 청춘. 하지만 피스톤 컵 챔피온쉽에 참가하기 위해 달리던 중 경쟁과 함성과는 동떨어진 래디에이터 스프링스란 한적한 시골로 들어서게 된다. 이제는 지도에 조차 표시되지 않는 한적한 66번 국도. 조용하지만 다양한 캐릭터들이 큰 열정을 간직하고 있는 이곳에서 맥퀸은 미스터리한 과거를 지닌 닥 허드슨(폴 뉴먼)과 샐리(보니 헌트), "
명탐정 코난: 감청의 주먹,[],[],[],[],[],[],[],87.641,2019-04-12,6.5,"19세기 말에 해적선과 함께 싱가폴 앞 바다에 침몰되었다 알려진 세계 최대의 블루 사파이어인 ""감청의 주먹""은 현지의 부자가 회수에 투자, 무대에 그 모습을 드러냈다. 그 때, 마리나 베이 샌즈에서 살인 사건이 발생. 현장에는 괴도 키드의 「피로 물든 예고장」이 남아 있었다. 한 편, 싱가포르에서 개최되는 가라데 토너먼트를 관전하기 위해 란과 소노코는 현지를 방문했다. 여권을 가지고 있지 않기 때문에 해외로 갈 수 없는 코난은 집을 볼 예정이었지만 그를"
덤보,덤보,"['콜린 파렐', '마이클 키튼', '대니 드비토']",111,팀 버튼,전체 관람가,"['가족', '판타지']","345,522",85.508,2019-03-27,6.6,"몸보다 훨씬 큰 귀를 가지고 태어나, 뒤뚱거리는 모습으로 서커스단의 웃음거리가 된 ‘덤보’. 어느 날 왕년의 서커스 스타 ‘홀트(콜린 파렐)’와 그의 아이들, 밀리와 조가 ’덤보’가 하늘을 날 수 있다는 것을 알게 되고, 유능한 사업가 ‘반데비어(마이클 키튼)’가 ‘덤보’를 스타로 만들기 위해 접근한다. 매력적인 공중 곡예사 ‘콜레트(에바 그린)’와 함께 하늘을 날게 된 ‘덤보’는 그의 친구들과 함께 환상적인 쇼를 둘러싼 어둠의 비밀을 발견하게 되는데…"
로건,로건,['휴 잭맨'],137,제임스 맨골드,청소년 관람불가,"['액션', 'SF']","2,169,109",84.552,2017-02-28,7.8,"2029년 알 수 없는 이유로 돌연변이들이 태어나지 않는 미래, 더이상 엑스맨은 없다. 갈수록 재생력이 약해져 늙고 수척해진 로건(휴 잭맨)은 멕시코 국경지대 은신처에 찰스 교수(패트릭 스튜어트)를 보호 중이다. 뇌에 심각한 손상을 입은 찰스 교수는 과거를 제대로 기억하지 못하는 데다 간헐적으로 주변을 위협하는 발작까지 일으킨다. 찰스 교수와 함께 떠날 배를 사기 위해 리무진 기사로 일하며 돈을 모으는 로건. 어느 날 낯선 여인이 찾아와 돌연변이 소녀 "
가디언즈 오브 갤럭시 Vol. 2,가디언즈 오브 갤럭시 VOL. 2,"['크리스 프랫', '조 샐다나', '데이브 바티스타']",136,제임스 건,12세 관람가,"['액션', 'SF']","2,736,060",83.75,2017-04-19,7.7,타노스에 맞서 은하계를 구하고 최고의 해결사로 등극한 스타로드 일행. 하지만 소버린 행성의 여사제 아이샤(엘리자베스 데비키)를 돕던 중 옛버릇을 고치지 못하고 행성의 배터리를 훔쳤다가 소버린 종족에 쫓기는 신세가 된다. 그 과정에서 피터의 아버지 에고(커트 러셀)가 그들을 돕는다. 아픈 엄마와 어린 자신을 버리고 떠난 아버지에 대한 원망이 컸던 피터는 에고의 행성에서 아버지의 능력을 확인하곤 그 힘에 이끌린다. 하지만 가모라는 에고의 행성에서 이상한 기
프로디지,프로디지,"['테일러 쉴링', '잭슨 로버트 스콧']",92,니콜라스 맥카시,15세 관람가,"['공포', '스릴러']","4,734",80.997,2019-02-06,5.9,"아기때부터 천재적인 지능을 보이며 엄마 ‘새라’를 흡족하게 하던 완벽한 소년 ‘마일스’.  영재교육을 받는 8살이 된 ‘마일스’는 점점 폭력적이고 손에 집착하는 이상 행동을 하며 무서운 소년으로 변해간다. 혹시 살인본능? 아니면 사이코패스? ‘마일스’의 증상을 걱정하던 ‘새라’는 한 의사를 통해 퇴행 최면을 받게 하고, 아들이 과거 끔찍한 일을 저지른 사람에게 빙의 됐다는 사실을 알게 된다."
가디언즈 오브 갤럭시,가디언즈 오브 갤럭시 VOL. 2,"['크리스 프랫', '조 샐다나', '데이브 바티스타']",136,제임스 건,12세 관람가,"['액션', 'SF']","2,736,060",78.022,2014-07-30,7.9,"자칭 전설의 무법자 스타로드, 그러나 현실은 우주를 떠도는 그저그런 좀도둑에 불과한 피터 퀼(크리스 프랫)은 무엇인지도 모른 채 오브를 훔쳤다가 생고생의 길로 접어든다. 값나가는 유물인 줄 알았던 오브가 실은 어마어마한 힘을 지닌 인피니티 스톤이었던 것. 뜻하지 않게 갤럭시의 절대악 타노스와 로난의 타겟이 된 그는 감옥에서 만난 암살자 가모라(조 샐다나), 거구의 파이터 드랙스(데이브 바티스타), 현상금 사냥꾼 로켓(브래들리 쿠퍼)과 그루트(빈 디젤) "
하이웨이맨,하이웨이맨,['트라이그브 로드'],[],트라이그브 로드,[],"['액션', '모험']",[],77.495,2019-03-15,6.7,"미국 최악의 범죄자 커플 보니와 클라이드를 잡기 위해, FBI와 최신 과학수사 기법을 총동원하는 텍사스 주정부. 하지만 실패만 거듭하면서 전직 레인저 두 명(케빈 코스트너와 우디 해럴슨)이 소환된다. 젊은 경찰들의 조롱에도 불구하고, 오로지 본능과 경험에 의존하는 두 사람. 그들의 숨겨진 실화가 공개된다."
아쿠아맨,아쿠아맨,"['제이슨 모모아', '앰버 허드', '니콜 키드먼']",143,제임스 완,12세 관람가,"['액션', '모험', 'SF']","5,038,143",76.997,2018-12-07,6.8,"정략결혼을 피해 해저 왕국 아틀란티스에서 도망쳐 육지로 오게 된 아틀라나(니콜 키드먼)는 등대지기 톰(테무에라 모리슨)과 사랑에 빠진다. 아틀란티스의 세력으로부터 남편과 아들 아서(제이슨 모모아)을 지키기 위해서 아틀라나는 바다로 돌아가고, 육지에 남은 아서는 어릴 때부터 자신의 초능력을 인지해 인간세계의 해적을 물리치는 등 나름의 활약을 펼친다. 한편 아서의 이부형제 옴(패트릭 윌슨)은 육지를 정복하기 위한 작전을 세운다. 옴의 약혼자이자 네레우스 왕"
나는 악마를 사랑했다,나는 악마를 사랑했다,"['잭 에프론', '카야 스코델라리오', '할리 조엘 오스먼트']",108,조 벌링거,[],"['범죄', '스릴러']",[],76.921,2019-05-02,7.1,잔인한 연쇄살인범 테드 번디를 새로운 시선으로 바라본다. 수년간 번디가 무고하다 믿었던 그의 오랜 연인 리즈. 그녀의 눈에 비친 번디는 어떤 남자였을까.
톨킨,톨킨,"['릴리 콜린스', '니콜라스 홀트', '제네비에브 오렐리']",[],도메 카루코스키,[],['드라마'],[],76.725,2019-05-03,4.9,고아인 한 작가의 우정과 사랑 및 예술적인 영감을 그린 영화로 학교에서 소외된 학생들로 구성된 그룹의 일원으로 지내다가 1차 세계대전에 참전하면서 이들과의 우정에 위기가 다가오며 이런 일련의 일들을 토대로 그 유명한 중간계 소설들을 쓰게되는 영감이 된다.
토르: 라그나로크,토르: 라그나로크,"['크리스 헴스워스', '마크 러팔로', '톰 히들스턴']",130,타이카 와이티티,12세 관람가,"['액션', '모험', '판타지']","4,858,572",76.512,2017-10-25,7.5,"은하계를 탐험하던 토르는 오딘의 오랜 숙적 수르트와의 대결에서 승리하는데, 수르트는 라그나로크가 이미 시작됐고, 막을 수 없을 것이라는 의미심장한 말을 남긴다. 한편 오딘의 힘이 약해지며 그가 봉인했던 죽음의 여신 헬라가 나타난다. 오딘의 첫째딸인 그녀는 두 동생, 토르와 로키를 가볍게 제압하고 아스가르드를 정복한다. 헬라와의 전쟁에서 묠니르를 잃고 사카아르라는 미지의 행성에 불시착한 토르는 아스가르드 행성으로 돌아가기 위해 고군분투한다. 행성의 통치자"
스파이더맨: 뉴 유니버스,스파이더맨: 뉴 유니버스,"['샤메익 무어', '헤일리 스테인펠드', '니콜라스 케이지']",117,밥 퍼시케티,12세 관람가,"['애니메이션', '액션', '가족']","723,450",76.067,2018-12-07,8.4,"평범한 10대 마일스 모랄레스는 우연히 방사능 거미에 물려 스파이더맨 능력을 가지게 된다. 혼란스러워하던 마일스는 악당과 싸우고 있는 피터 파커를 마주치게 되고 피터 파커는 마일스가 자신과 같은 능력을 가지고 있음을 직감한다. 여러 개의 평행세계가 존재한다는 것을 알게 된 마일스와 피터 파커는 이후 스파이더우먼 스파이더 그웬, 스파이더맨 누아르, 스파이더햄 등 평행세계 속 공존하는 모든 스파이더맨들을 만나게 되는데... 하나의 유니버스에서 만나 팀을 결"
유랑지구,유랑지구,"['굴초소', '오경', '조금맥']",125,곽범,12세 관람가,['SF'],"17,525",74.854,2019-02-05,6.3,"?가까운 미래, 태양계 소멸 위기를 맞은 지구는 영하 70도의 이상 기후와 함께 목성과의 충돌이라는 대재앙에 직면한다. 그러자, 전 세계 연합정부는 지구 자체를 태양계 밖으로 이동시키기 위한 범우주적 인류이민계획을 세우는데…"
범블비,범블비,"['헤일리 스테인펠드', '존 시나']",114,트래비스 나이트,12세 관람가,"['액션', '모험', 'SF']","1,561,643",72.231,2018-12-15,6.4,"지속된 디셉티콘과의 전쟁에서 위기에 몰린 옵티머스 프라임은 중요한 임무를 가진 오토봇을 지구로 보낸다.  지구에 도착한 오토봇은 인간들에게 쫓기게 되고, 낡은 비틀로 변신해 폐차장에 은둔하던 중,  찰리라는 소녀에 의해 발견된다.  비틀을 수리하던 찰리는 자신의 낡은 자동차가 거대한 로봇으로 변신하는 놀라운 광경을 목격하고,  모든 기억이 사라진 그에게 ‘범블비’라는 이름을 지어주며 서로에게 특별한 존재가 되어간다.  하지만, 범블비의 정체를 파헤치려는"
알리타: 배틀 엔젤,알리타: 배틀 엔젤,"['로사 살라자르', '크리스토프 왈츠', '키언 존슨']",122,로버트 로드리게즈,12세 관람가,"['액션', '모험', '멜로/로맨스']","1,951,889",71.287,2019-01-31,6.6,모두가 갈망하는 공중도시와 그들을 위해 존재하는 고철도시로 나누어진 26세기. 고철 더미 속 모든 기억을 잃은 채 깨어난 알리타는 마음 따뜻한 의사 이도의 보살핌으로 새로운 삶을 시작한다. 이도는 사이보그인 알리타에게 특별한 과거의 비밀과 영혼이 존재한다는 사실을 깨닫고 미스터리한 과거로부터 그녀를 지키고자 한다. 한편 새로운 친구 휴고는 알리타가 위험한 고철도시를 헤쳐나갈 수 있는 방법과 함께 기억을 되찾도록 돕는다. 알리타가 자신의 과거에 다가 갈수
요로나의 저주,요로나의 저주,['린다 카델리니'],93,마이클 차베즈,15세 관람가,"['공포', '미스터리', '스릴러']","200,727",70.137,2019-04-17,5.5,"1973년, 애나는 남편 없이 두 아이와 살고 있다. 사회복지사인 애나가 담당하던 한 여인의 아이들이 불의의 사고로 목숨을 잃자, 그녀는 이것이 ‘요로나’의 짓이라면서 애나에게도 똑같은 저주가 내릴 것이라 예언한다. 어느 날부터인가 울음소리를 들려오고 의문의 존재가 아이들을 위협하는데..."
퍼스트 어벤져,퍼스트 어벤져,"['크리스 에반스', '토미 리 존스', '휴고 위빙']",123,조 존스톤,12세 관람가,"['액션', '모험']","514,579",69.509,2011-07-22,6.9,"진주만 공습을 겪은 미국은 선전포고를 하고 제2차 세계대전에 발을 들인다. 스티브 로저스(크리스 에반스)는 왜소하고 마른 체격으로 인해 입대마저 번번히 거부당하지만, 포기를 모르는 근성과 강한 희생 정신을 인정받아 최고의 전사를 양성하는 슈퍼 솔져 프로젝트에 스카우트된다. 비밀리에 진행된 실험을 통해 가장 완벽한 육체와 인간의 한계를 초월한 신체 능력을 얻게 된 스티브는 모두에게 캡틴으로 불리며 영웅으로 새롭게 태어난다. 하지만 거대한 히드라 조직을 앞"
앤트맨과 와스프,앤트맨과 와스프,"['폴 러드', '에반젤린 릴리', '마이클 더글라스']",118,페이튼 리드,12세 관람가,"['액션', '모험', 'SF']","5,448,134",68.539,2018-07-04,7,"캡틴 아메리카의 요청으로 독일까지 가서 아이언맨 일행과 싸우고 돌아온 스콧(폴 러드)은 어느 날 이상한 꿈을 꾼다. 그가 행크 핌 박사(마이클 더글러스)와 호프(에반젤린 릴리)에게 꿈 이야기를 들려주자, 호프는 미지의 양자 영역에 갇혀버린 엄마 재닛(미셸 파이퍼)의 메시지라는 것을 확신하게 된다. 행크 핌 박사는 자신의 비밀 연구소에서 그동안 개발해왔던 양자 터널과 탐색기를 이용해 1대 와스프 재닛의 구출작전을 펼치려 하지만, 시공간의 개념이 사라진 양"
미스 발라,미스 발라,"['지나 로드리게즈', '안소니 마키', '토마스 데커']",104,캐서린 하드윅,PG-13,"['액션', '드라마', '스릴러']",[],68.235,2019-02-01,6.4,"글로리아 푸엔테스(지나 로드리게스 분)는 로스앤젤레스 출신의 라틴 아메리카 메이크업 아티스트로, 가장 친한 친구 스즈(Suzu)를 만나러 멕시코 티후아나를 방문한다.  그들은 만남을 즐기기 위해 현지 나이트클럽에 함께 갔다가 멕시코 갱단과의 범죄에 연루된다."
페이트/스테이 나이트 [헤븐즈 필] 제2장 로스트 버터플라이,[],[],[],[],[],[],[],67.564,2019-01-12,4.7,"10년 만에 후유키시에서 시작된 [성배전쟁]은 이 전쟁의 3대 가문인 마토 가문의 당주 마토 조켄의 참전으로 인하여 일그러지고, 뒤틀리고, 어긋나 버렸다. 마스터로서 싸움에 가담한 에미야 시로도 부상을 입고 서번트인 세이버마저 잃어버렸지만, 그는 마토 사쿠라를 지키기 위해 싸움에서 물러나지 않는다. 하지만 그녀 또한 마술사의 숙명에 사로잡히는데..."
이스케이프 룸,이스케이프 룸,"['크리스틴 돈런', '랜디 웨인', '스키트 울리치']",87,피터 듀크스,15세 관람가,['공포'],[],65.553,2019-01-03,6.3,"거액의 상금이 걸린 방탈출 게임에 초대된 6명의 사람들. 성별, 연령, 출신도 모두 다른 이들은 오직 초대장만을 가지고 세계 최고의 방탈출 게임 회사 ‘미노스’에 모인다. 하지만 초대자는 나타나지 않고, 예고도 없이 시작되는 게임. 불태워 죽일 듯이 순식간에 방안의 온도가 상승하고 6명의 참가자는 탈출하기 위해 단서를 찾기 시작한다. 죽음의 공포 속에서 아슬아슬하게 다음 방으로 넘어간 참가자들은 오븐 룸, 아이스 룸, 업사이드다운 룸, 포이즌 룸, 일루"
레고 무비 2,레고 무비2,"['크리스 프랫', '엘리자베스 뱅크스', '윌 아넷']",107,마이크 미첼,전체 관람가,"['애니메이션', '액션', '모험']","88,392",65.192,2019-01-26,6.6,"시스타 행성의 지멋대로 여왕의 지시로 듀플로 외계인들이 레고 마을을 침공한다. 어마무시 장군이 친구들을 납치하자 에밋은 우주로의 여행을 떠나는데… 에밋과 친구들의 대모험, 이번엔 우주다! 준비됐나요?"
신비한 동물들과 그린델왈드의 범죄,신비한 동물들과 그린델왈드의 범죄,"['에디 레드메인', '조니 뎁', '캐서린 워터스턴']",134,데이빗 예이츠,12세 관람가,"['모험', '가족', '판타지']","2,414,195",64.294,2018-11-14,6.9,"마법 세계와 비마법 세계의 공존을 깨려고 했던 그린델왈드는 뉴트 스캐맨더(에디 레드메인)와 미국 마법부 의회에 의해 붙잡혔지만, 유럽으로 이송하는 과정에서 탈출하고 만다. 그린델왈드의 탈출 목적은 프랑스 파리에 머무는 것으로 추정되는 크레덴스(에즈라 밀러)를 포섭해 자신의 수하로 삼는 것. 영국으로 돌아왔던 뉴트는 덤블도어 교수(주드 로)로부터 자신은 나설 수 없으니 그린델왈드에 맞서달라는 지령을 받고 역시 파리로 향한다. 뉴트의 친구들, 제이콥(댄 포"
아이언맨,아이언맨,"['로버트 다우니 주니어', '테렌스 하워드', '제프 브리지스']",125,존 파브로,12세 관람가,"['SF', '액션', '드라마']","4,300,365",63.19,2008-04-30,7.5,"천재적인 두뇌와 재능으로 세계 최강의 무기업체를 이끄는 CEO이자, 타고난 매력으로 셀러브리티 못지않은 화려한 삶을 살아가던 억만장자 토니 스타크. 아프가니스탄에서 자신이 개발한 신무기 발표를 성공리에 마치고 돌아가던 그는 게릴라군의 갑작스런 공격에 의해 가슴에 치명적인 부상을 입고 게릴라군에게 납치된다. 가까스로 목숨을 건진 그에게 게릴라군은 자신들을 위한 강력한 무기를 개발하라며 그를 위협한다. 그러나 그는 게릴라군을 위한 무기 대신, 탈출을 위한 "
호빗: 다섯 군대 전투,호빗: 다섯 군대 전투,"['마틴 프리먼', '이안 맥켈런', '리처드 아미티지']",144,피터 잭슨,12세 관람가,"['판타지', '모험']","2,836,777",62.839,2014-12-10,7.3,"빌보 배긴스와 참나무 방패 소린, 난쟁이 족이 떠난 거대한 여정의 끝에 난쟁이 족은 원래 자신들의 터전이던 에레보르에 있는 엄청난 보물을 되찾지만 이는 무시무시한 용 스마우그가 호수마을의 무기력한 주민들을 공격하게 되는 결과를 낳는다. 소린은 탐욕에 서서히 눈이 멀어 우정과 명예를 저버린 채 왕의 보물 아르켄스톤을 찾는다. 암흑의 군주 사우론은 오크 군대를 보내 외로운 산에 기습 공격을 감행한다. 마침내 다섯 군대의 전투가 시작되고 빌보는 본인과 친구들"
어스,어스,"['루피타 뇽', '윈스턴 듀크', '엘리자베스 모스']",116,조던 필,15세 관람가,"['스릴러', '공포']","1,474,908",62.397,2019-03-14,7.2,"애들레이드와 게이브 윌슨(루피타 뇽오와 윈스턴 듀크)은 아이들을 데리고 캘리포니아 북부에 있는 아들레이드의 오래된 해변가로 여름 휴가를 떠난다. 다음날 합류 한 타일러 가족(엘리자베스 모스와 팀 하이데커)과 함께 해변에서 하루를 보내지만, 애들레이드는 과거에 겪은 트라우마 증상이 심해지며 나쁜 일이 일어날 것이라는 공포에 시달린다. 밤이 되고 윌슨은 차도에 조용히 서있는 네명의 손을 맞잡은 뭔가를 보게 되는데..."
아이언 스카이 2,아이언 스카이2: 더 커밍 레이스,"['줄리아 디에체', '톰 그린', '우도 키에르']",93,티모 부오렌솔라,15세 관람가,"['액션', '코미디', 'SF']",[],61.464,2019-01-25,4.8,
인스턴트 패밀리,인스턴트 패밀리,"['마크 월버그', '로즈 번', '옥타비아 스펜서']",118,숀 앤더스,12세 관람가,"['코미디', '드라마', '가족']",[],61.212,2018-11-16,7.5,"피트와 엘리 부부는 직접 자신들의 아이를 낳는 대신 입양을하기로 하지만, 그들의 계획과는 달리 대부분의 가정에서 입양하기를 꺼리는 십 대 아이 세 명을 입양하게 되는 상황에 놓인다.  서로가 서로의 새로운 가족이 되는 과정 속에서 그들은 갈등을 겪게 되지만 점차 진정한 가족의 의미를 깨닫게 되는데…"
